global_step,epoch,train_loss,val_loss,val_accuracy,learning_rate
5000,1,0.076456,0.236189,0.425781,0.00001000
10000,1,0.046912,0.203550,0.417969,0.00002000
15000,1,0.069085,0.223597,0.453125,0.00003000
15000,1,0.090169,,,0.00003000
20000,2,0.051240,0.227398,0.441406,0.00002889
25000,2,0.046317,0.260468,0.449219,0.00002778
30000,2,0.026575,0.257712,0.425781,0.00002667
30000,2,0.065581,,,0.00002667
35000,3,0.052831,0.274424,0.441406,0.00002556
40000,3,0.081685,0.269666,0.449219,0.00002444
45000,3,0.410284,0.256660,0.441406,0.00002333
45000,3,0.072939,,,0.00002333
50000,4,0.031517,0.247188,0.468750,0.00002222
55000,4,0.054303,0.252889,0.449219,0.00002111
60000,4,0.199570,0.271705,0.484375,0.00002000
60000,4,0.071900,,,0.00002000
65000,5,0.033609,0.276696,0.460938,0.00001889
70000,5,0.073288,0.249730,0.433594,0.00001778
75000,5,0.034086,0.257992,0.488281,0.00001667
75000,5,0.071033,,,0.00001667
80000,6,0.110092,0.255765,0.468750,0.00001556
85000,6,0.114302,0.256284,0.441406,0.00001444
90000,6,0.053312,0.257796,0.449219,0.00001333
90000,6,0.070306,,,0.00001333
95000,7,0.062139,0.260643,0.468750,0.00001222
