global_step,epoch,train_loss,val_loss,val_accuracy,learning_rate
5000,1,0.090506,0.222676,0.425781,0.00001667
10000,1,0.027114,0.207926,0.460938,0.00003333
15000,1,0.019044,0.234901,0.453125,0.00005000
15000,1,0.084333,,,0.00005000
20000,2,0.161942,0.250386,0.441406,0.00004815
25000,2,0.111990,0.266683,0.421875,0.00004630
30000,2,0.068839,0.267426,0.445312,0.00004444
30000,2,0.072344,,,0.00004444
35000,3,0.109410,0.284239,0.406250,0.00004259
40000,3,0.016251,0.256155,0.468750,0.00004074
45000,3,0.079575,0.234419,0.453125,0.00003889
45000,3,0.072265,,,0.00003889
50000,4,0.065394,0.249264,0.488281,0.00003704
55000,4,0.073420,0.265834,0.441406,0.00003519
60000,4,0.051755,0.269248,0.492188,0.00003333
60000,4,0.070157,,,0.00003333
